property,strategy,n_acquired,r2_unseen,rmse_unseen
viscosity,random,0,0.6562837336759013,0.9266655534947853
viscosity,random,50,0.6759237543496499,0.8565198416599962
viscosity,random,100,0.6601162610124238,0.8988519960308454
viscosity,random,150,0.6069292734879067,0.927887107639833
viscosity,random,200,0.5940262372272951,1.0272842866294363
viscosity,random,250,0.563266553844397,1.011825991882653
viscosity,coverage,0,0.6562837336759013,0.9266655534947853
viscosity,coverage,50,0.644094875251317,0.919121641057515
viscosity,coverage,100,0.6562039265589367,0.8596922225932451
viscosity,coverage,150,0.6601358503310486,0.7707554945288867
viscosity,coverage,200,0.7633245860553459,0.6254191808856415
viscosity,coverage,250,0.8888595887871396,0.4122213394858971
viscosity,uncertainty,0,0.6562837336759013,0.9266655534947853
viscosity,uncertainty,50,0.6647173485795377,0.8714202020672075
viscosity,uncertainty,100,0.636597069065316,0.8385588159624479
viscosity,uncertainty,150,0.5954230428891663,0.8242317317531522
viscosity,uncertainty,200,0.5632887966021304,0.8635474719140815
viscosity,uncertainty,250,0.6881567304409495,0.6706963141395433
conductivity,random,0,0.6582447677950056,1.5804344208403938
conductivity,random,50,0.6745357505146764,1.586928149500506
conductivity,random,100,0.7584031347504405,1.143998465419243
conductivity,random,150,0.6386763440535932,1.0185635290595076
conductivity,random,200,0.655616344032564,1.0707541303119479
conductivity,random,250,0.6847445792008914,1.1248674328854693
conductivity,coverage,0,0.6582447677950056,1.5804344208403938
conductivity,coverage,50,0.6011976136258412,1.486251801566504
conductivity,coverage,100,0.5966941440188986,1.5254990537923878
conductivity,coverage,150,0.496128024783944,1.5126593676374123
conductivity,coverage,200,0.5142574701890262,1.0140140929608694
conductivity,coverage,250,0.7898058918901545,0.5727746751176978
conductivity,uncertainty,0,0.6582447677950056,1.5804344208403938
conductivity,uncertainty,50,0.6297934215898906,1.674850443375673
conductivity,uncertainty,100,0.6434122016686376,1.7728166341299956
conductivity,uncertainty,150,0.6004452003197082,2.0300772537717626
conductivity,uncertainty,200,0.6526676521620159,2.0535031884680337
conductivity,uncertainty,250,0.6639678140903889,1.1526784371964542
