rank_uncertainty,il,cat,an,pred_eta_mPas,pred_ln,ens_std,dist_nearest_measured,rank_coverage
1,CCCC[N+](CCCC)(CCCC)CC(=O)Nc1cccc(C)c1|Cc1cccc([O-])c1C,CCCC[N+](CCCC)(CCCC)CC(=O)Nc1cccc(C)c1,Cc1cccc([O-])c1C,3453.5812018654215,8.147167001171503,1.0805741677391665,1.926307599272471,
2,CCCCCCCC[N+](CC)(CC)CC(=O)Nc1ccc(C)cc1C|Cc1ccc([O-])cc1,CCCCCCCC[N+](CC)(CC)CC(=O)Nc1ccc(C)cc1C,Cc1ccc([O-])cc1,3453.5812018654215,8.147167001171503,1.0805741677391665,1.926307599272471,
3,CCCCCC[N+](CCC)(CCC)CC(=O)Nc1ccc(C)cc1C|Cc1ccc([O-])cc1,CCCCCC[N+](CCC)(CCC)CC(=O)Nc1ccc(C)cc1C,Cc1ccc([O-])cc1,3453.5812018654215,8.147167001171503,1.0805741677391665,1.926307599272471,
4,CCCCCC[N+](C)(CCCCC)CC(=O)Nc1ccc(C)cc1C|Cc1cccc([O-])c1,CCCCCC[N+](C)(CCCCC)CC(=O)Nc1ccc(C)cc1C,Cc1cccc([O-])c1,3453.5812018654215,8.147167001171503,1.0805741677391665,1.926307599272471,
5,CCCCC[N+](CCC)(CCCC)CC(=O)Nc1cc(C)cc(C)c1|Cc1ccccc1[O-],CCCCC[N+](CCC)(CCCC)CC(=O)Nc1cc(C)cc(C)c1,Cc1ccccc1[O-],3453.5812018654215,8.147167001171503,1.0805741677391665,1.926307599272471,
6,CCCC[N+](CCCC)(CCCC)CC(=O)Nc1ccc(C)cc1C|Cc1ccccc1[O-],CCCC[N+](CCCC)(CCCC)CC(=O)Nc1ccc(C)cc1C,Cc1ccccc1[O-],3453.5812018654215,8.147167001171503,1.0805741677391665,1.926307599272471,
7,CCCCCC[N+](CCCCCC)(CCOc1ccc(C)cc1C)CCN1CCCC1|c1c[n-]nn1,CCCCCC[N+](CCCCCC)(CCOc1ccc(C)cc1C)CCN1CCCC1,c1c[n-]nn1,17206.2955703978,9.75303061736676,1.077489856978542,1.9824036309930133,
8,CCCCCC[N+](CCCCCC)(CCOc1ccc(C)cc1)CCN1CCCCC1|c1c[n-]nn1,CCCCCC[N+](CCCCCC)(CCOc1ccc(C)cc1)CCN1CCCCC1,c1c[n-]nn1,17206.2955703978,9.75303061736676,1.077489856978542,1.9820340493100592,
9,CCCC[P+](CC)(CCCC)CC(=O)Nc1ccc(CC)cc1|CCc1ccc([O-])cc1,CCCC[P+](CC)(CCCC)CC(=O)Nc1ccc(CC)cc1,CCc1ccc([O-])cc1,3610.9027790410837,8.19171309735951,1.07596695447455,1.9238818164103424,
10,CCCCC[P+](CC)(CCC)CC(=O)Nc1ccc(CC)cc1|CCc1cccc([O-])c1,CCCCC[P+](CC)(CCC)CC(=O)Nc1ccc(CC)cc1,CCc1cccc([O-])c1,3610.9027790410837,8.19171309735951,1.07596695447455,1.9238818164103424,
11,CCCC[P+](CC)(CCCC)CC(=O)Nc1ccccc1CC|CCc1ccc([O-])cc1,CCCC[P+](CC)(CCCC)CC(=O)Nc1ccccc1CC,CCc1ccc([O-])cc1,3610.9027790410837,8.19171309735951,1.07596695447455,1.9238818164103424,
12,CCCCC[P+](CC)(CCC)CC(=O)Nc1ccccc1CC|CCc1ccc([O-])cc1,CCCCC[P+](CC)(CCC)CC(=O)Nc1ccccc1CC,CCc1ccc([O-])cc1,3610.9027790410837,8.19171309735951,1.07596695447455,1.9238818164103424,
