property,strategy,n_acquired,r2_eval_fixed,rmse_eval_fixed
viscosity,random,0,0.5833993118184888,1.0566372882206396
viscosity,random,50,0.5686233243907177,1.075212416069593
viscosity,random,100,0.5995166986143075,1.0359961640093927
viscosity,random,150,0.5785320839253767,1.0627918150595668
viscosity,random,200,0.5984127994878329,1.0374230003553533
viscosity,random,250,0.5744461023352536,1.0679310836389901
viscosity,random,300,0.5743330063379903,1.0680729818897716
viscosity,coverage,0,0.5833993118184888,1.0566372882206396
viscosity,coverage,50,0.6070161422101954,1.0262502997587701
viscosity,coverage,100,0.6089077714826973,1.0237773904972685
viscosity,coverage,150,0.6290754333884628,0.9970311799326366
viscosity,coverage,200,0.6197256297310456,1.009518934722258
viscosity,coverage,250,0.6125734349958369,1.0189682197903476
viscosity,coverage,300,0.5743330063379903,1.0680729818897716
viscosity,uncertainty,0,0.5833993118184888,1.0566372882206396
viscosity,uncertainty,50,0.5915306152387092,1.04627463497644
viscosity,uncertainty,100,0.561493065836173,1.0840621312822103
viscosity,uncertainty,150,0.5895326397922638,1.0488303724110948
viscosity,uncertainty,200,0.6100110501862633,1.0223323227754841
viscosity,uncertainty,250,0.5974899935389082,1.038614261903077
viscosity,uncertainty,300,0.5743330063379903,1.0680729818897716
conductivity,random,0,0.5320695526255073,1.8793893285297605
conductivity,random,50,0.5587229322457914,1.8250794851772707
conductivity,random,100,0.5856583487664448,1.768501368991267
conductivity,random,150,0.5981786135103863,1.741576789232378
conductivity,random,200,0.600087068020141,1.7374360489689873
conductivity,random,250,0.6027265683897407,1.7316928548188026
conductivity,random,300,0.629962333332279,1.6712794417436057
conductivity,coverage,0,0.5320695526255073,1.8793893285297605
conductivity,coverage,50,0.6064441436462858,1.723571458535216
conductivity,coverage,100,0.5906337551433871,1.7578512360037422
conductivity,coverage,150,0.5965970431255208,1.74500084943472
conductivity,coverage,200,0.6333170247977358,1.663686441801743
conductivity,coverage,250,0.6005751658454312,1.7363754460136038
conductivity,coverage,300,0.629962333332279,1.6712794417436057
conductivity,uncertainty,0,0.5320695526255073,1.8793893285297605
conductivity,uncertainty,50,0.6187137989802838,1.6964913444121632
conductivity,uncertainty,100,0.6234610885160404,1.6858969909010255
conductivity,uncertainty,150,0.6284669094628248,1.674653086406896
conductivity,uncertainty,200,0.6162918053264081,1.7018710130317014
conductivity,uncertainty,250,0.5691558676817923,1.803375625475533
conductivity,uncertainty,300,0.629962333332279,1.6712794417436057
