property,class,n_IL,R2,RMSE
viscosity,CC(both new),29,0.3479531288437162,1.132243005340378
viscosity,"CS(seen cat, new anion)",123,0.36705291135742335,1.0734308369288814
viscosity,"SC(seen anion, new cation)",394,0.5970899924267303,0.7605580631909142
viscosity,"SS(seen-seen, new combo)",619,0.6203083451504259,0.8669560736984692
conductivity,CC(both new),9,0.8743362206549853,1.386259100850207
conductivity,"CS(seen cat, new anion)",74,0.6920372173669189,1.8666865764393876
conductivity,"SC(seen anion, new cation)",217,0.6755440636191812,0.8798588219042922
conductivity,"SS(seen-seen, new combo)",341,0.5143774600485833,1.131694676523463
density,CC(both new),34,0.7083831091400586,0.11711348281411181
density,"CS(seen cat, new anion)",127,0.7556380312732248,0.0861907942136389
density,"SC(seen anion, new cation)",439,0.755422727837203,0.08694324624316262
density,"SS(seen-seen, new combo)",796,0.8573325448149616,0.07050115150710204
melting_point,CC(both new),25,0.23383264270611437,44.64716900123574
melting_point,"CS(seen cat, new anion)",62,0.34999828832292956,35.66435597101136
melting_point,"SC(seen anion, new cation)",230,0.2293812842292421,33.44153849506379
melting_point,"SS(seen-seen, new combo)",325,0.4443948260326883,35.333986254742676
