anion,n_far
OC([CH-]C(O)C(F)(F)F)C(F)(F)F,28896
CCc1ccc([O-])cc1,5598
CCc1cccc([O-])c1,5571
CCc1ccccc1[O-],5567
Cc1cccc([O-])c1C,5356
Cc1cc(C)cc([O-])c1,5343
Cc1ccc([O-])c(C)c1,5307
Cc1ccccc1[O-],4730
Cc1cccc([O-])c1,4725
Cc1ccc([O-])cc1,4694
COc1ccc([O-])cc1,4679
Cc1ccc(S(=O)(=O)[O-])cc1,4490
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4160
[O-]c1ccccc1,4113
O=Cc1ccccc1[O-],4092
CCCCCCCCS(=O)(=O)[O-],3227
F[P-](F)(F)(F)(F)F,3186
CCCCCCCCC(=O)[O-],2601
CCCCCCCS(=O)(=O)[O-],2515
c1c[n-]nn1,2299
