cation,n_far
CCCCCCC[N+](CCCCCCC)(CCNc1cccc(CC)c1)CCNc1cccc(CC)c1,22
CCCCCCCC[N+](CCCCCC)(CCNc1ccc(C)cc1C)CC(=O)Nc1ccc(C)cc1C,21
CCCCCCCC[N+](CCCCCCC)(CCNc1ccc(C)cc1)CCNc1ccc(C)cc1C,21
CCCCCCCC[N+](CCCCCCC)(CCNc1ccc(OC)cc1)CCNc1cccc(C)c1,20
CCCCCCC[N+](CCCCCCC)(CCNc1cc(C)cc(C)c1)CC(=O)Nc1ccc(CC)cc1,20
CCCCCCC[N+](CCCCCCC)(CCNc1ccc(OC)cc1)CCNc1cc(C)cc(C)c1,20
CCCCCCCC[N+](CCCCC)(CCNc1ccccc1C=O)CC(=O)Nc1ccc(CC)cc1,20
CCCCCCCC[N+](CCCCCC)(CCNc1ccccc1C=O)CC(=O)Nc1cccc(C)c1C,20
CCCCCCCC[N+](CCCCCCC)(CC(=O)Nc1cccc(CC)c1)CC(=O)Nc1ccc(C)cc1C,20
CCCCCCCC[N+](CCCCCCCC)(CCNc1ccc(CC)cc1)CCNc1ccc(CC)cc1,20
CCCCCCCC[N+](CCCCCC)(CCNc1ccc(C)cc1)CCNc1ccc(CC)cc1,20
CCCCCCCC[N+](CCCCCCCC)(CCNc1cccc(CC)c1)CC(=O)Nc1cccc(CC)c1,20
CCCCCCCC[N+](CCCCCCC)(CCNc1ccc(C)cc1C)CC(=O)Nc1cc(C)cc(C)c1,20
CCCCCCCC[N+](CCCCCC)(CCNc1ccccc1)CC(=O)Nc1cccc(CC)c1,20
CCCCCCCC[N+](CCCCCCCC)(CCNc1ccccc1)CC(=O)Nc1ccccc1CC,20
CCCCCCCC[N+](CCCCCCC)(CCNc1ccc(CC)cc1)CCNc1cc(C)cc(C)c1,20
CCCCCCCC[N+](CCCCCCCC)(CCNc1ccc(CC)cc1)CCNc1cccc(C)c1C,20
CCCCCCCC[N+](CCCCCCC)(CC(=O)Nc1cccc(C)c1)CC(=O)Nc1cccc(C)c1,19
CCCCCCCC[N+](CCCCCCC)(CCNc1cccc(CC)c1)CC(=O)Nc1ccccc1C=O,19
CCCCCCCC[N+](CCCCCCC)(CCNc1ccc(C)cc1)CCNc1ccc(C)cc1,19
