property,model,split,R2,RMSE,MAE
viscosity,LR,group,0.5813766246357033,0.9988263803321152,0.7408152979120007
viscosity,RF,group,0.6841632092253467,0.8675801874143033,0.6149686040618957
viscosity,GBR,group,0.694564872041888,0.8531742873730221,0.6072401816745795
viscosity,HistGBM,group,0.7404779730060456,0.7864396094986127,0.5444458625469056
viscosity,HistGBM,point,0.9276208764469887,0.41532199025367783,0.23808735752896829
conductivity,LR,group,0.5376391825231764,1.7649882328916677,1.1536740400765118
conductivity,RF,group,0.7086522709118754,1.4010612494288084,0.7631804424089563
conductivity,GBR,group,0.6945889911864169,1.4344771893843258,0.8170492614346458
conductivity,HistGBM,group,0.6967963072569102,1.4292840458673408,0.7711856999217757
conductivity,HistGBM,point,0.9202156561907169,0.7331792099650211,0.37094512925953943
density,LR,group,0.8126872725223196,0.0736082451061053,0.054103831702448896
density,RF,group,0.7703781451200306,0.08149846526323659,0.05068654220040689
density,GBR,group,0.8339812255806676,0.06929811505501657,0.05064857379198592
density,HistGBM,group,0.9003195143018637,0.0536967366369487,0.03532973042176686
density,HistGBM,point,0.9853716872117162,0.020570267481552808,0.012796408552989686
melting_point,LR,group,0.1517355760020057,40.90681562922835,30.76749709928378
melting_point,RF,group,0.3962504222694637,34.51107335243091,24.746075256837745
melting_point,GBR,group,0.3894334430168238,34.70535995290711,25.439216668447212
melting_point,HistGBM,group,0.3748992437081453,35.116001504340616,25.90690682057229
melting_point,HistGBM,point,0.3554246978433374,35.65881257354247,25.70571582454555
