property,bin,n_il,n_records,median_records_per_il,r2_group,r2_point,delta_r2,leak_rate
viscosity,[1-1],186,186,1.0,0.18250271902280835,0.33804288744017763,0.15554016841736928,0.0
viscosity,[2-4],61,179,3.0,0.3429725600897715,0.8895840693154338,0.5466115092256623,0.9273743016759777
viscosity,[5-9],339,2505,8.0,0.6423986157958586,0.9651976397908346,0.32279902399497606,1.0
viscosity,[10-24],412,5599,13.0,0.661968600797663,0.9737686633762185,0.3118000625785555,1.0
viscosity,[25-49],85,2836,31.0,0.6805539530558447,0.9443906217670938,0.2638366687112491,1.0
viscosity,[50-inf],82,14331,110.0,0.5443325744432153,0.9115674632074401,0.36723488876422483,1.0
viscosity,ALL,1165,25636,9.0,0.7404779730060456,0.9276208764469887,0.1871429034409431,0.9920814479638009
conductivity,[1-1],149,149,1.0,0.6746575158869452,0.656213000435928,-0.018444515451017218,0.0
conductivity,[2-4],25,76,3.0,-1.1779057519044542,0.19708204210213764,1.374987794006592,0.9736842105263158
conductivity,[5-9],189,1385,7.0,0.61509065054034,0.9665344606027273,0.35144381006238734,1.0
conductivity,[10-24],199,2592,12.0,0.6985886636296482,0.953879740737434,0.25529107710778576,1.0
conductivity,[25-49],46,1546,31.0,0.3203089750459609,0.8678767422649415,0.5475677672189806,1.0
conductivity,[50-inf],33,3799,94.0,0.65445903184303,0.9092180335427541,0.2547590016997241,1.0
conductivity,ALL,641,9547,9.0,0.6967963072569102,0.9202156561907169,0.22341934893380666,0.9841835131454907
density,[1-1],310,310,1.0,0.6641623023926896,0.6657761250614724,0.0016138226687828494,0.0
density,[2-4],70,221,4.0,0.5396514603509439,0.9402590457694974,0.40060758541855346,0.9411764705882353
density,[5-9],340,2530,8.0,0.8190743754121752,0.9930478089153603,0.17397343350318506,1.0
density,[10-24],432,6085,13.0,0.8009133196195692,0.9969925526765804,0.19607923305701114,1.0
density,[25-49],86,2939,34.0,0.372183561470141,0.99442988378334,0.622246322313199,1.0
density,[50-inf],158,37939,154.0,0.7196553321402601,0.9910343484551775,0.27137901631491734,1.0
density,ALL,1396,50024,9.0,0.9003195143018637,0.9853716872117162,0.08505217290985245,0.9935231089077243
