property,N_IL,seed,r2_group,r2_point
viscosity,50,0,0.21244547947724335,0.9583516152847725
viscosity,50,1,0.7330074517726308,0.9761609832693878
viscosity,50,2,0.2968066309102547,0.9252821332645368
viscosity,100,0,0.14280980146538447,0.9422515951151272
viscosity,100,1,0.6560859737172429,0.9748547893592108
viscosity,100,2,0.4404224842626201,0.9458453891579013
viscosity,200,0,0.2501571832445175,0.943722556863899
viscosity,200,1,0.5521664259544552,0.9542507574022125
viscosity,200,2,0.5683776773127336,0.9304875472918811
viscosity,400,0,0.5459078491710352,0.9361586343206438
viscosity,400,1,0.583234762677307,0.9441404495668834
viscosity,400,2,0.7033996551400099,0.9424763425271733
viscosity,800,0,0.705931023067092,0.9277274223132748
viscosity,800,1,0.668772826343273,0.9268674045893956
viscosity,800,2,0.7115270148038975,0.9266835421303513
viscosity,1165,0,0.7404779730060456,0.9276208764469887
viscosity,1165,1,0.7299110765116055,0.9269148468565546
viscosity,1165,2,0.7351640839003528,0.9283922433602281
conductivity,50,0,0.25716110231338885,0.8420971559538893
conductivity,50,1,0.35819970511259713,0.8715900205211844
conductivity,50,2,0.3102502924900564,0.8230585195261284
conductivity,100,0,0.4726744170350281,0.8809240592878033
conductivity,100,1,0.5163167242279055,0.9334935735904806
conductivity,100,2,0.638264220415585,0.8964642472293028
conductivity,200,0,0.5765603001265523,0.9007434523758264
conductivity,200,1,0.5583742520012895,0.9331118616801892
conductivity,200,2,0.48798692843487135,0.897792009543914
conductivity,400,0,0.622045448557234,0.9200510724936815
conductivity,400,1,0.6858749248033781,0.9237898543640803
conductivity,400,2,0.6540274933393881,0.9188144689908033
conductivity,641,0,0.6967963072569102,0.9202156561907169
conductivity,641,1,0.6967963072569102,0.9203849945348164
conductivity,641,2,0.6967963072569102,0.9206877663282163
conductivity,641,0,0.6967963072569102,0.9202156561907169
conductivity,641,1,0.6967963072569102,0.9203849945348164
conductivity,641,2,0.6967963072569102,0.9206877663282163
density,50,0,0.4801902087106882,0.975170288434958
density,50,1,0.013989884445100076,0.9561191155905643
density,50,2,0.05669592956777525,0.988924704717462
density,100,0,0.42191504465509255,0.9814970714500298
density,100,1,-0.06306300688008237,0.9713231311040783
density,100,2,0.5172536107856422,0.9890617781384158
density,200,0,0.7467937301385259,0.9849546208776588
density,200,1,0.7313198931482197,0.9830061969476327
density,200,2,0.800150996843998,0.9868247276766902
density,400,0,0.8317184950201619,0.9824166274019205
density,400,1,0.7088980696813807,0.9789700286992098
density,400,2,0.8054681642648817,0.9879247979011778
density,800,0,0.8241668009754277,0.9841495277573629
density,800,1,0.8328519734577776,0.9833783562072892
density,800,2,0.8517524754628925,0.9860336280332891
density,1396,0,0.9003195143018637,0.9853716872117162
density,1396,1,0.8971075024846996,0.9853401563811423
density,1396,2,0.8993684218666413,0.9851512820134591
melting_point,50,0,-0.0859856242100625,-0.1485595640528572
melting_point,50,1,-0.030453984988484173,0.06438237968415361
melting_point,50,2,-0.10546343341805042,-0.04189837420866516
melting_point,100,0,-0.2047192914910161,-0.16026053930864892
melting_point,100,1,0.1937783012895058,0.03528989251910175
melting_point,100,2,0.09086279455029123,0.19422384963694617
melting_point,200,0,0.29990901794332936,0.2651944296162251
melting_point,200,1,0.19518816420060248,0.2210368939712667
melting_point,200,2,0.2982435613674326,0.294041094594217
melting_point,300,0,0.3258903036814287,0.3516262520009692
melting_point,300,1,0.17823447922702473,0.21586753493617739
melting_point,300,2,0.2708555535195163,0.3111565350305948
melting_point,450,0,0.3411772399410574,0.3616555623845217
melting_point,450,1,0.29363886223327185,0.2538689502115682
melting_point,450,2,0.3518891268938428,0.32233347475577245
melting_point,642,0,0.3748992437081453,0.3554246978433374
melting_point,642,1,0.3748992437081453,0.36362250153029807
melting_point,642,2,0.3748992437081453,0.3678871879013028
