prop,bucket,set,n,n_il,R2,MAE
conductivity,1,base,149,149,0.758205017266211,0.767964204474999
conductivity,1,full,149,149,0.7789466890769394,0.6641813877216911
conductivity,2-3,base,32,14,0.07504896535387107,1.4666736213958498
conductivity,2-3,full,32,14,0.8142255469702457,0.7711430751471124
conductivity,4-9,base,1429,200,0.6586889621155263,0.7072981078787628
conductivity,4-9,full,1429,200,0.7963888456319261,0.5294353709849042
conductivity,10-24,base,2591,199,0.6688637506550419,0.7034882942662534
conductivity,10-24,full,2591,199,0.7387162885636265,0.5611408750194604
conductivity,25+,base,5269,79,0.7263905883308517,0.7836275887837059
conductivity,25+,full,5269,79,0.7392030563717722,0.6963995788465426
density,1,base,346,346,0.6932614902992373,0.06922227310993902
density,1,full,346,346,0.7969973054024513,0.04554850845685283
density,2-3,base,79,35,0.589999005600931,0.07771427316165866
density,2-3,full,79,35,0.7800619390009861,0.051873224645483725
density,4-9,base,2691,378,0.8554025354678407,0.04244599196848455
density,4-9,full,2691,378,0.904551674573009,0.029055072042384087
density,10-24,base,6013,430,0.8636122357215459,0.043845956132614015
density,10-24,full,6013,430,0.9437971641382558,0.024746044308732222
density,25+,base,39299,244,0.8927822529891793,0.03804189784940004
density,25+,full,39299,244,0.9532114368374184,0.023677098826904875
viscosity,1,base,233,233,0.13984759426388138,0.8676532434247471
viscosity,1,full,233,233,0.5598428714199635,0.5299914106736355
viscosity,2-3,base,116,46,0.5458477783500129,0.6676115575007404
viscosity,2-3,full,116,46,0.8189553787749448,0.4123129602226522
viscosity,4-9,base,2567,355,0.6706617713714889,0.6850109057094077
viscosity,4-9,full,2567,355,0.8417328363188255,0.4356052597720613
viscosity,10-24,base,5584,412,0.7300108451202628,0.6011624103584996
viscosity,10-24,full,5584,412,0.8720959119850717,0.3772220488382792
viscosity,25+,base,16760,167,0.7029463730657861,0.539899707999923
viscosity,25+,full,16760,167,0.816336622159187,0.35378445777992795
melting_point,1,base,540,540,0.3314247617820212,27.283610793838793
melting_point,1,full,540,540,0.49647324007076443,22.924210539261747
melting_point,2-3,base,168,74,0.5422106209055471,20.359485466079697
melting_point,2-3,full,168,74,0.6231040333623493,17.830068208479165
melting_point,4-9,base,125,22,0.1398465142009434,24.71488892922573
melting_point,4-9,full,125,22,0.4990060268697032,19.093353588143657
melting_point,10-24,base,86,6,0.8200938030541292,14.315252188108014
melting_point,10-24,full,86,6,0.8350503091510422,13.689313424163954
