cat_smiles,an_smiles,T,P,value,unit,ref,il,mw,logp,tpsa,hbd,hba,rotb,ar_rings,heavy,fcsp3,rings
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,273.15,100.0,-0.6500876910994983,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,273.15,100.0,-0.6481738149172142,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,283.15,100.0,-0.24079848655293046,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,293.15,100.0,0.11511280710050467,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,293.15,100.0,0.11600367575630613,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,293.15,100.0,0.11689375147149943,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,298.15,100.0,0.27383666562972786,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,298.15,100.0,0.2745968329031255,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,298.15,100.0,0.27535642276114397,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,298.15,100.0,0.2761154360803155,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,303.15,100.0,0.4219944100593749,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,303.15,100.0,0.42264993286226527,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,303.15,100.0,0.42330502623649535,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,313.15,100.0,0.6896410412306577,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,313.15,100.0,0.6906440503418269,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,313.15,100.0,0.6911451778892722,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,313.15,100.0,0.6916460544336782,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,323.15,100.0,0.9262410627273231,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,323.15,100.0,0.9266370239282993,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,323.15,100.0,0.9270328284060573,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,323.15,100.0,0.927428476284611,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
CCCC[N+]1(C)CCCC1,N#C[N-]C#N,323.15,100.0,0.927823967687828,S/m,"Zec, N.; Bester-Rogac, M.; Vranes, M.; Gadzuric, S. (2015) J. Chem. Thermodyn. 91, 327-335.",CCCC[N+]1(C)CCCC1|N#C[N-]C#N,208.309,2.3491600000000004,61.68,0,2,3,0,15,0.8181818181818182,1
