cat_smiles,an_smiles,T,P,value,unit,ref,il,mw,logp,tpsa,hbd,hba,rotb,ar_rings,heavy,fcsp3,rings
CCCC[N+](CCCC)(CCCC)CCCC,[Cl-],,,344.0,K,"Abranches, Dinis O.; Schaeffer, Nicolas; Silva, Liliana P.; Martins, Monia A. R.; Pinho, Simao P.; Coutinho, Joao A. P. (2019) Molecules 24, 3687.",CCCC[N+](CCCC)(CCCC)CCCC|[Cl-],277.92399999999986,2.007600000000001,0.0,0,0,12,0,18,1.0,0
Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1,F[P-](F)(F)(F)(F)F,,,343.6,K,"Aljuhani, Ateyatallah; Aouad, Mohamed Reda; Rezki, Nadjet; Aljaldy, Omar Abdulaziz; Al-Sodies, Salsabeel A.; Messali, Mouslim; Ali, Imran (2019) J. Mol. Liq. 285, 790-802.",Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1|F[P-](F)(F)(F)(F)F,404.2659999999999,5.751140000000003,32.98,1,1,3,2,26,0.2,2
Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1,F[P-](F)(F)(F)(F)F,,,339.6,K,"Aljuhani, Ateyatallah; Aouad, Mohamed Reda; Rezki, Nadjet; Aljaldy, Omar Abdulaziz; Al-Sodies, Salsabeel A.; Messali, Mouslim; Ali, Imran (2019) J. Mol. Liq. 285, 790-802.",Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1|F[P-](F)(F)(F)(F)F,404.2659999999999,5.751140000000003,32.98,1,1,3,2,26,0.2,2
Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1,O=C([O-])C(F)(F)F,,,336.6,K,"Aljuhani, Ateyatallah; Aouad, Mohamed Reda; Rezki, Nadjet; Aljaldy, Omar Abdulaziz; Al-Sodies, Salsabeel A.; Messali, Mouslim; Ali, Imran (2019) J. Mol. Liq. 285, 790-802.",Cc1ccc[n+](CC(=O)Nc2ccc(C)c(F)c2)c1|O=C([O-])C(F)(F)F,372.318,1.6673399999999998,73.11,1,3,3,2,26,0.2352941176470588,2
CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,268.3,K,"Ahmed, O. U.; Mjalli, F. S.; Talal, A.-W.; Al-Wahaibi, Y.; Al Nashef, I. M. (2018) J. Solution Chem. 47(3), 468-483.",CCCCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,450.467,3.866400000000003,82.38,0,4,7,0,27,1.0,1
CCCC[P+](CCCC)(CCCC)CCCC,CS(=O)(=O)[O-],,,331.1,K,"Ahmed, O. U.; Mjalli, F. S.; Talal, A.-W.; Al-Wahaibi, Y.; Al Nashef, I. M. (2018) J. Solution Chem. 47(3), 468-483.",CCCC[P+](CCCC)(CCCC)CCCC|CS(=O)(=O)[O-],354.53700000000003,5.3658000000000055,57.2,0,3,12,0,22,1.0,0
Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1,O=C([O-])C(F)(F)F,,,331.6,K,"Aljuhani, Ateyatallah; Aouad, Mohamed Reda; Rezki, Nadjet; Aljaldy, Omar Abdulaziz; Al-Sodies, Salsabeel A.; Messali, Mouslim; Ali, Imran (2019) J. Mol. Liq. 285, 790-802.",Cc1cc[n+](CC(=O)Nc2ccc(C)c(F)c2)cc1|O=C([O-])C(F)(F)F,372.318,1.6673399999999998,73.11,1,3,3,2,26,0.2352941176470588,2
CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,282.1,K,"Annat, Gary; Forsyth, Maria; MacFarlane, Douglas R. (2012) J. Phys. Chem. B 116(28), 8251-8258.",CCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,408.386,2.6961000000000013,82.38,0,4,4,0,24,1.0,1
CCC[N+]1(C)CCCC1,N#C[N-]C#N,,,256.1,K,"Annat, Gary; Forsyth, Maria; MacFarlane, Douglas R. (2012) J. Phys. Chem. B 116(28), 8251-8258.",CCC[N+]1(C)CCCC1|N#C[N-]C#N,194.282,1.95906,61.68,0,2,2,0,14,0.8,1
CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,261.2,K,"Ahmed, O. U.; Mjalli, F. S.; Talal, A.-W.; Al-Wahaibi, Y.; Al Nashef, I. M. (2018) J. Solution Chem. 47(3), 468-483.",CCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,422.413,3.0862000000000016,82.38,0,4,5,0,25,1.0,1
CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,263.4,K,"Appetecchi, G. B.; Montanino, M.; Carewska, M.; Moreno, M.; Alessandrini, F.; Passerini, S. (2011) Electrochim. Acta 56, 1300-1307.",CC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,391.315,1.3917999999999997,91.19,0,4,3,1,23,0.625,1
CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,274.1,K,"Annat, Gary; Forsyth, Maria; MacFarlane, Douglas R. (2012) J. Phys. Chem. B 116(28), 8251-8258.",CCCCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,450.467,3.866400000000003,82.38,0,4,7,0,27,1.0,1
CCCC[n+]1ccn(C)c1,[Cl-],,,338.1,K,"Alves, M. B.; Umpierre, A. P.; Santos, V. O. J.; Soares, V. C. D.; Dupont, J.; Rubim, J. C.; Suarez, P. A. Z. (2010) Thermochim. Acta 502(1-2), 20-23.",CCCC[n+]1ccn(C)c1|[Cl-],174.67499999999998,-1.8832999999999969,8.809999999999999,0,0,3,1,11,0.625,1
CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,,,284.6,K,"Appetecchi, G. B.; Montanino, M.; Carewska, M.; Moreno, M.; Alessandrini, F.; Passerini, S. (2011) Electrochim. Acta 56, 1300-1307.",CCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,408.386,2.6961000000000013,82.38,0,4,4,0,24,1.0,1
CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,,,279.6,K,"Appetecchi, G. B.; Montanino, M.; Carewska, M.; Moreno, M.; Alessandrini, F.; Passerini, S. (2011) Electrochim. Acta 56, 1300-1307.",CCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,508.4,3.966700000000004,82.38,0,4,6,0,30,1.0,1
CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,,,271.9,K,"Appetecchi, G. B.; Montanino, M.; Carewska, M.; Moreno, M.; Alessandrini, F.; Passerini, S. (2011) Electrochim. Acta 56, 1300-1307.",CC[n+]1ccn(C)c1|O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,491.329,2.6624000000000008,91.19,0,4,5,1,29,0.7,1
