il,truth,pred,fold,n_records
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,-0.6500877141952515,-2.1237196922302246,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,-0.6481738090515137,-2.1237196922302246,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,-0.2407984882593155,-1.3516777753829956,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.1151128038764,-0.7840458750724792,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.11600367724895477,-0.7840458750724792,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.11689375340938568,-0.7840458750724792,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.2738366723060608,-0.5442135334014893,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.27459684014320374,-0.5442135334014893,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.2753564119338989,-0.5442135334014893,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.27611544728279114,-0.5442135334014893,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.4219944179058075,-0.31767261028289795,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.42264991998672485,-0.31767261028289795,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.42330503463745117,-0.31767261028289795,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.6896410584449768,0.007691502571105957,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.6906440258026123,0.007691502571105957,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.6911451816558838,0.007691502571105957,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.6916460394859314,0.007691502571105957,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.9262410402297974,0.254787802696228,0,58
CCCC[N+]1(C)CCCC1|N#C[N-]C#N,0.9266370534896851,0.254787802696228,0,58
