il,truth,pred,fold,n_records
CCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,282.1000061035156,302.63287353515625,0,8
CCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,261.20001220703125,300.1816101074219,0,20
CCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,284.6000061035156,302.63287353515625,0,8
Cc1cc[n+](CCOc2ccccc2)cc1|[Br-],352.1000061035156,380.94757080078125,0,1
CCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,266.6000061035156,300.1816101074219,0,20
CCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,256.1000061035156,300.1816101074219,0,20
CC[n+]1ccn(C)c1|O=S(=O)([O-])C(F)(F)F,263.1000061035156,277.28802490234375,0,4
CC[N+](CC)(CC)CC|F[P-](F)(F)(F)(F)F,355.1000061035156,318.21270751953125,0,3
CCCCCCCCCCCCSCC(Cn1cc[n+](C)c1)SCCCCCCCCCCCC|[Cl-],313.8999938964844,348.74212646484375,0,1
CCCC[n+]1ccn(C)c1|CCCCOP(=O)([O-])OCCCC,281.1000061035156,306.77392578125,0,1
CC[n+]1ccsc1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.1000061035156,275.1692199707031,0,1
c(N(CCC)CCC)1c(N(CCC)CCC)[c+]1N(CCC)CCC|[N-](C#N)C#N,326.1000061035156,311.9024963378906,0,1
CCCCCCCCCCCCOC(=O)C[N+](C)(C)C|F[B-](F)(F)F,362.1000061035156,337.6029357910156,0,1
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C|[O-]Cl(=O)(=O)=O,367.1000061035156,352.8908996582031,0,1
C(CCC)[P+](CCCC)(CCCC)CCCC|CC1=CC=C(C=C1)S(=O)(=O)[O-],335.25,319.9506530761719,0,1
CCCC[n+]1ccn(C)c1|N#C[N-]C#N,267.0,264.05340576171875,0,2
CC[n+]1ccn(C)c1|F[P-](F)(F)(F)(F)F,332.79998779296875,297.3269348144531,0,6
CCCCCC[N+](C)(C)CCO|[Br-],355.5,355.7394104003906,0,2
CCCCCC[N+](C)(C)CCO|[Br-],355.29998779296875,355.7394104003906,0,2
CCCCCCCCCCCC[n+]1ccn(C)c1|[Cl-],369.79998779296875,333.58056640625,0,2
CCCC[n+]1ccc(C)cc1|Cc1ccc(S(=O)(=O)[O-])cc1,324.8599853515625,325.8197937011719,0,1
CCCC[N+]1(C)CCCCC1|N#C[S-],304.32000732421875,300.747802734375,0,1
CCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,262.20001220703125,300.1816101074219,0,20
CCC[N+]1(C)CCCC1|O=S(=O)([O-])C(F)(F)F,350.70001220703125,295.591064453125,0,1
CCCC[n+]1cccc(C)c1|Cc1ccc(S(=O)(=O)[O-])cc1,323.70001220703125,325.75506591796875,0,1
CCCC[N+]1(C)CCCC1|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,260.0,300.1816101074219,0,20
CC[S+](C)CC|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,256.3999938964844,299.81695556640625,0,1
CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21|CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,343.1000061035156,332.0073547363281,0,1
CCCCCC[n+]1cccc2ccccc21|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,317.20001220703125,316.8805236816406,0,2
CC[n+]1ccn(C)c1|F[P-](F)(F)(F)(F)F,331.1000061035156,297.3269348144531,0,6
CCCC[N+]1(C)CCCC1|N#C[S-],295.3999938964844,295.2822265625,0,1
CCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21|CCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,334.1000061035156,328.13153076171875,0,1
CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-]|CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],334.1000061035156,328.1338806152344,0,1
CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21|CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,323.1000061035156,326.1041259765625,0,1
