il,gbm_conductivity,hist_conductivity,gbm_melting_point,gbm_viscosity,il_canon,is_known,an_charges,n_an_seg,an_netchg,mpnn_conductivity
CCn1cc[n+](CC)c1|[N-](C#N)C#N,0.5110470096267823,0.4268348423000689,269.585209534982,3.0455077065444867,CCn1cc[n+](CC)c1|N#C[N-]C#N,False,[N-](C#N)C#N,1,-1,0.46307337
CCn1cc[n+](CC)c1|N#C[N-]C#N,0.5110470096267823,0.5075266081542026,269.585209534982,3.0455077065444867,CCn1cc[n+](CC)c1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.4630736
C=C[n+]1ccn(C)c1|N#C[N-]C#N,0.4612676768071586,0.6877194239376011,281.54280717070566,3.2768471824178937,C=C[n+]1ccn(C)c1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.7509216
C=C[n+]1ccn(C)c1|[N-](C#N)C#N,0.4612676768071586,0.5864757342022885,281.54280717070566,3.2768471824178937,C=C[n+]1ccn(C)c1|N#C[N-]C#N,False,[N-](C#N)C#N,1,-1,0.7509216
CC[n+]1cccnc1|N#C[N-]C#N,0.4168257053497058,0.6091325508268494,284.08429639494693,3.4102709993618854,CC[n+]1cccnc1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.43568218
CC[n+]1cccnc1|[N-](C#N)C#N,0.4168257053497058,0.5970290186403132,284.08429639494693,3.4102709993618854,CC[n+]1cccnc1|N#C[N-]C#N,False,[N-](C#N)C#N,1,-1,0.43568218
CC[n+]1cc[nH]c1|N#C[N-]C#N,0.3856135798637244,0.3586260618751228,277.3225094839441,3.197092482062009,CC[n+]1cc[nH]c1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.71217
CC[N+]1=CNC=C1|N#C[N-]C#N,0.3856135798637244,0.3586260618751228,277.3225094839441,3.197092482062009,CC[n+]1cc[nH]c1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.71217
CCC[n+]1ccn(C)c1|N#C[N-]C#N,0.3820868535973296,0.4805633471675148,267.8840801479441,3.382099454956626,CCC[n+]1ccn(C)c1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.5100473
CCC[n+]1ccn(C)c1|[N-](C#N)C#N,0.3820868535973296,0.3107314237646051,267.8840801479441,3.382099454956626,CCC[n+]1ccn(C)c1|N#C[N-]C#N,False,[N-](C#N)C#N,1,-1,0.5100473
CC(C)n1cc[n+](C)c1|[N-](C#N)C#N,0.3081330202576448,0.4101547111162372,286.2159602007054,3.7845929960363742,CC(C)n1cc[n+](C)c1|N#C[N-]C#N,False,[N-](C#N)C#N,1,-1,0.54997456
CC(C)n1cc[n+](C)c1|N#C[N-]C#N,0.3081330202576448,0.4908464769703706,286.2159602007054,3.7845929960363742,CC(C)n1cc[n+](C)c1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.54997456
CC[n+]1ccc(C)cc1|[N-](C#N)C#N,0.3030085613109067,0.3533408514112601,297.83219965202454,3.613709628550875,CC[n+]1ccc(C)cc1|N#C[N-]C#N,False,[N-](C#N)C#N,1,-1,0.5511786
CC1=CC=[N+](CC)C=C1|[N-](C#N)C#N,0.3030085613109067,0.3533408514112601,297.83219965202454,3.613709628550875,CC[n+]1ccc(C)cc1|N#C[N-]C#N,False,[N-](C#N)C#N,1,-1,0.5511786
CC[n+]1ccc(C)cc1|N#C[N-]C#N,0.3030085613109067,0.4340326172653934,297.83219965202454,3.613709628550875,CC[n+]1ccc(C)cc1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.5511786
CC1=CC=[N+](CC)C=C1|N#C[N-]C#N,0.3030085613109067,0.4340326172653934,297.83219965202454,3.613709628550875,CC[n+]1ccc(C)cc1|N#C[N-]C#N,False,N#C[N-]C#N,1,-1,0.5511786
