property,model,split,fold,n_test,r2,rmse,mae
conductivity,mlr,point,1,649,0.41457874843907605,2.779748907708836,1.5831525694051476
conductivity,mlr,point,2,649,0.47999366574740965,2.4146082276869687,1.4610182796495639
conductivity,mlr,point,3,648,0.4482162772110895,2.382523461455325,1.5044668084123745
conductivity,mlr,point,4,648,0.4583864801348656,2.5444275833134467,1.5506258191503268
conductivity,mlr,point,5,648,0.38009883755325324,2.4615922589584756,1.5237329798676023
conductivity,mlr,group,1,649,-3.1277277666278858,2.8098594419001848,2.418781081299522
conductivity,mlr,group,2,649,0.20846472982366826,3.903916104111664,2.6680921644412847
conductivity,mlr,group,3,648,0.08366697908147858,3.742579603006414,2.245163841198423
conductivity,mlr,group,4,648,-1.0375685813365965,3.3031556330342404,2.180294970350707
conductivity,mlr,group,5,648,-0.04484346953968377,3.7544297800932145,2.5926545175973557
conductivity,gbm,point,1,649,0.9040298762332921,1.1254840735102314,0.6083819072945926
conductivity,gbm,point,2,649,0.9122355082914783,0.9919774053707581,0.48795198086023506
conductivity,gbm,point,3,648,0.9123672033911352,0.9494805642684945,0.49693964981757405
conductivity,gbm,point,4,648,0.9300235660988747,0.9145790519358368,0.4909184808637286
conductivity,gbm,point,5,648,0.878625732475025,1.0892265108126202,0.5514503626353783
conductivity,gbm,group,1,649,0.31363798619999605,1.1457917533142303,0.6892420514567925
conductivity,gbm,group,2,649,0.726469545547781,2.2949233450057083,1.4833913483324601
conductivity,gbm,group,3,648,0.5869492532031054,2.5127314971799963,1.1161369246642157
conductivity,gbm,group,4,648,0.46317391661928653,1.6954684925518622,1.0382981615510851
conductivity,gbm,group,5,648,0.2888290705823672,3.0974575811051817,1.5979178033605157
conductivity,mlp,point,1,649,0.9211485338808681,1.0201786081998454,0.5895340761425275
conductivity,mlp,point,2,649,0.8947389220653504,1.0863662520120745,0.6506436118683036
conductivity,mlp,point,3,648,0.9123067003597507,0.9498082757106955,0.5699576715686054
conductivity,mlp,point,4,648,0.9121941546235136,1.0244884365730826,0.5704060595788925
conductivity,mlp,point,5,648,0.906150351594138,0.9577920261141071,0.5436541536164096
conductivity,mlp,group,1,649,0.2957017336825357,1.1606663188621222,0.8750625934969345
conductivity,mlp,group,2,649,0.8833716906208092,1.4985365167434204,1.0470009098499502
conductivity,mlp,group,3,648,0.6454776483299343,2.327910014217252,1.0671939064526128
conductivity,mlp,group,4,648,0.11852446854802912,2.1725913676707713,1.354652242757719
conductivity,mlp,group,5,648,-0.0698065311727647,3.7990148588280483,1.8905082639064834
density,gbm,point,1,21,0.7659447441960163,0.08448703469599655,0.06368876612479923
density,gbm,point,2,21,0.8670903645968193,0.05364269581068649,0.04076198182402541
density,gbm,point,3,20,0.9109085203942369,0.050171612140544504,0.03986087384455737
density,gbm,point,4,20,0.4444817706409523,0.1348673218550215,0.09630926091326908
density,gbm,point,5,20,0.8092278238178068,0.06410056770197986,0.046772827095022916
density,gbm,group,1,21,0.8812685491409025,0.049885109943975436,0.03742442942081355
density,gbm,group,2,21,0.7644388061761928,0.07632823767319263,0.06122842789765666
density,gbm,group,3,20,0.8354740992960236,0.06714018187280307,0.04618413881565838
density,gbm,group,4,20,0.7975627090332291,0.07618849572724998,0.05486431782676003
density,gbm,group,5,20,0.8526433508658913,0.07413505664202384,0.05320189055876312
viscosity,gbm,point,1,12,-0.16536586360518046,0.37268378314768746,0.3233006387725556
viscosity,gbm,point,2,12,-0.1030981550471588,0.5507847725619028,0.43945423890772967
viscosity,gbm,point,3,12,-0.16911706049939856,0.6040888076911993,0.5463921703938244
viscosity,gbm,point,4,12,-0.06174953927151128,0.38868517870681435,0.32348271813996554
viscosity,gbm,point,5,11,-1.0674802365271674,0.5294198731806922,0.48698066883574603
viscosity,gbm,group,1,12,-0.1578150040585624,0.5783108682193097,0.517264373092011
viscosity,gbm,group,2,12,-0.32990423468050656,0.484104333924335,0.4094794301205291
viscosity,gbm,group,3,12,-0.8733014935852441,0.4578986558875423,0.4299533246822517
viscosity,gbm,group,4,12,-0.2216705487234767,0.43658026196809246,0.34547835700836577
viscosity,gbm,group,5,11,0.09896332838958888,0.48398902985993825,0.3884630694732715
melting_point,gbm,point,1,13,-0.3871666685949686,22.361866286414806,19.183461793875093
melting_point,gbm,point,2,12,-0.11168537609159679,22.08231052591292,17.531088975192084
melting_point,gbm,point,3,12,0.2957760939166446,17.73606540494844,14.329142301918091
melting_point,gbm,point,4,12,-0.0377461129233323,24.830733426160254,21.445633336368832
melting_point,gbm,point,5,12,0.1611767419106398,23.10651431466628,20.013561914620915
melting_point,gbm,group,1,13,-0.2697926212861448,26.700508946029647,22.06182203446554
melting_point,gbm,group,2,12,-0.1270015994848408,17.31671203961446,13.596355039745994
melting_point,gbm,group,3,12,0.11541561254684829,23.478052140797697,20.243176071581477
melting_point,gbm,group,4,12,-0.21787036421560413,23.0564614366583,18.32533861563694
melting_point,gbm,group,5,12,-0.028425793824274237,24.780151352697125,21.522001976258025
