il
C(C)N1C(=[N+](C=C1)C)C|[S-]C#N
C(C)N1C=[N+](C=C1)C=C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(C)N1C=[N+](C=C1)C|C(#N)[N-]S(=O)(=O)C(F)(F)F
C(C)N1C=[N+](C=C1)C|C(CCC(=O)C)(=O)[O-]
C(C)N1C=[N+](C=C1)C|C(CO)(=O)[O-]
C(C)N1C=[N+](C=C1)C|FC(C(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(C)N1C=[N+](C=C1)C|N1=CN=C2N=C[N-]C2=C1N
C(C)N1C=[N+](C=C1)C|NCCC(=O)[O-]
C(C)N1C=[N+](C=C1)C|[N-]1C(=O)NC(=O)C(C)=C1
C(C)N1C=[N+](C=C1)C|[N-]1C(=O)NC(=O)C=C1
C(C)N1C=[N+](C=C1)C|[N-]1C=NC=2N=CNC2C1=O
C(C)OC(CN1C=[N+](C=C1)C=C)=O|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(C)OCCN1C=[N+](C=C1)C|C(C(O)C)(=O)[O-]
C(C)OCCN1C=[N+](C=C1)C|C(C)(=O)[O-]
C(C)OCCN1C=[N+](C=C1)C|C(CC)(=O)[O-]
C(C)OCC[P+](CC)(CC)CC|[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
C(C)OCC[P+](CCCC)(CCCC)CCCC|CS(=O)(=O)[O-]
C(C)OCC[P+](CCCC)(CCCC)CCCC|FC(C(=O)[O-])(F)F
C(C)OCC[P+](CCCC)(CCCC)CCCC|FC(S(=O)(=O)[O-])(F)F
C(C)OCC[P+](CCCC)(CCCC)CCCC|[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
C(C)[N+](CC)(CC)CC|C(CCCCCCCCCCCCCCCCC)(=O)[O-]
C(C)[N+]1(CCCC1)CCCCCC|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(C)[N+]1(CCCC1)C|C(CCC(=O)C)(=O)[O-]
C(C)[N+]1(CCCCC1)C|C(CCC(=O)C)(=O)[O-]
C(C)[P+](CCCC)(CCCC)CCCC|[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
C(C)[P+](CCCCC)(CC)CC|FC(C(F)(F)F)(S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)F
C(C)[P+](CCCCCCCC)(CC)CC|FC(C(F)(F)F)(S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)F
C(C)[P+](CCCCCCCC)(CC)CC|FC(C1=N[N-]C=C1)(F)F
C(CC)N1C=[N+](C=C1)C=C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CC)[N+]1=CC=CC=C1|FC(S(=O)(=O)[O-])(F)F
C(CCC)N1C(=[N+](C=C1)C)C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CCC)N1C(=[N+](C=C1)C)C|N[C@@H]([C@H](O)C)C(=O)[O-]
C(CCC)N1C=[N+](C=C1)C=C|N[C@@H](CC1=CNC=N1)C(=O)[O-]
C(CCC)N1C=[N+](C=C1)C=C|N[C@@H](CCCCN)C(=O)[O-]
C(CCC)N1C=[N+](C=C1)C=C|N[C@@H](CO)C(=O)[O-]
C(CCC)N1C=[N+](C=C1)C|C(#N)[BH2-]C#N
C(CCC)N1C=[N+](C=C1)C|CP(OC)([O-])=O
C(CCC)N1C=[N+](C=C1)C|P(OC)([O-])=O
C(CCC)N1C=[N+](C=C1)C|[N-]1C(=O)NC(=O)C(C)=C1
C(CCC)N1C=[N+](C=C1)C|[N-]1C(=O)NC(=O)C=C1
C(CCC)N1C=[N+](C=C1)C|[N-]1C=NC=2N=CNC2C1=O
C(CCC)OC(CN1C=[N+](C=C1)C=C)=O|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CCC)[N+](CCCC)(CCCC)CCCC|C(CCCCCCCCCCCCCCCCC)(=O)[O-]
C(CCC)[N+](CCCC)(CCCC)CCCC|N1=CC(=CC=C1)[O-]
C(CCC)[N+]1(CCCC1)C|C(CCC(=O)C)(=O)[O-]
C(CCC)[N+]1(CCCC1)C|FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
C(CCC)[N+]1(CCCCC1)C|C(#N)[C-](C#N)C#N
C(CCC)[N+]1=CN(C=C1)C|FC(C(C(F)(F)F)F)(S(=O)(=O)[O-])F
C(CCC)[N+]1=CSC=C1C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CCC)[N+]1=CSC=C1C|F[B-]1(F)OC(=O)C(=O)O1
C(CCC)[N+]1=CSC=C1|F[B-]1(F)OC(=O)C(=O)O1
C(CCC)[P+](CC)(CCCC)CCCC|C(C1=CC=CC=C1)(=O)[O-]
C(CCC)[P+](CC)(CCCC)CCCC|C1(=CC=CC=C1)S(=O)(=O)[O-]
C(CCC)[P+](CC)(CCCC)CCCC|C1(=CC=CC=C1)[O-]
C(CCC)[P+](CC)(CCCC)CCCC|N1=C(C=CC=C1)C(=O)[O-]
C(CCC)[P+](CC)(CCCC)CCCC|N1=C(C=CC=C1)S(=O)(=O)[O-]
C(CCC)[P+](CC)(CCCC)CCCC|O=C1[N-]C=CC=C1
C(CCC)[P+](CCCC)(CCCC)CCCC|C(C)C(COP(=O)(OCC(CCCC)CC)[O-])CCCC
C(CCC)[P+](CCCC)(CCCC)CCCC|CC1=CC=C(C=C1)S(=O)(=O)[O-]
C(CCC)[P+](CCCC)(CCCC)CCCC|N1=C(C=CC=C1)[O-]
C(CCC)[P+](CCCC)(CCCC)CCCC|N1=CC(=CC=C1)[O-]
C(CCC)[P+](CCCC)(CCCC)CCCC|O1C(=CC=C1)C(=O)[O-]
C(CCC)[P+](CCCC)(CCCC)CCCC|O1C(CCC1)C(=O)[O-]
C(CCC)[P+](CCCC)(CCCC)CCCC|S1C(=CC=C1)C(=O)[O-]
C(CCC)[P+](CCCC)(CCCC)CCCC|[N-](C#N)C#N
C(CCC)[P+](CCCCCC)(CCCC)CCCC|[N-](C#N)C#N
C(CCC)[P+](CCCCCCCC)(CCCC)CCCC|[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
C(CCC)[P+](CCCCCCCCCC)(CCCC)CCCC|[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
C(CCC)[P+](CCCCCCCCCCCC)(CCCC)CCCC|[N-](C#N)C#N
C(CCCC)N1C=[N+](C=C1)C=C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CCCCC)N1C=[N+](C=C1)C=C|FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F
C(CCCCC)N1C=[N+](C=C1)C|CP(OC)([O-])=O
C(CCCCC)N1C=[N+](C=C1)C|P(OC)([O-])=O
C(CCCCC)[N+](=C(N(C)C)N(C)C)CCCCCC|C(#N)[C-](C#N)C#N
